label,dseeing_ori,dseeing_corr,dbeta_ori,dbeta_corr
53.0_-28.2,0.02395335879683172,0.0009718619659801152,0.04669054973669713,0.005193437676339549
138.0_-0.5,0.02999878399065384,0.00223601353268471,0.05906672352101437,0.009048802041812494
14.8_-29.2,0.027280843640384356,0.0005982243250496755,0.051486570108288124,0.007088268184771299
9.3_-31.2,0.02589811818148557,0.00117768159879915,0.03737754715544727,0.006361955711614966
341.8_-29.2,0.037484459651790855,0.0053370538597636635,0.07352520938296504,0.01359191274479147
6.8_-29.2,0.04480134363417932,0.005498471773332412,0.1448233518381131,0.03562913651086411
47.2_-30.2,0.02287765818861755,-0.0006367707352586057,0.03764289389011443,0.005162055404898656
15.3_-32.1,0.02245413253431725,0.0014108876758627596,0.03152636690936446,0.004546424569355512
232.0_0.5,0.04242026265245392,0.008089056397432954,0.09855611856155566,0.02244511447796314
358.8_-35.1,0.06681352171722359,0.012752025684256322,0.18695175326457747,0.056863641068080575
51.6_-27.2,0.038544983513472734,0.0026298832190586644,0.08832633737757074,0.01724870463010881
16.9_-28.2,0.046441717635777334,0.008389291539931029,0.10216903541508165,0.022552141410102762
224.0_-0.5,0.021648880368899587,0.000559797975963439,0.03368848795370566,0.0044621765383477145
181.5_-2.5,0.0420658239817227,0.005915727523835026,0.10915036500119592,0.024520721890855798
215.0_-0.5,0.030196385339973163,0.0025029341211566616,0.06141079710983265,0.00798266740989251
178.5_-2.5,0.031641105515579575,0.003607379822221416,0.06737775480382126,0.010426089578549383
132.0_-0.5,0.054899192679881345,0.007411769215192296,0.14814584917666693,0.03752018775516725
19.6_-30.2,0.04224070517881296,0.007915412493283164,0.09939932012952582,0.022425247495823742
343.4_-33.1,0.05586986762672227,0.01144815798546854,0.1608277892633757,0.043092586437730715
35.0_-31.2,0.05065249200383201,0.01050016746865369,0.13743589338660586,0.03143050033755897
18.8_-32.1,0.08256407450542054,0.02394147119285259,0.3519155679709535,0.13458751993272222
203.0_0.5,0.058912932441354884,0.010465935532273058,0.16558202265966043,0.048837327270068794
29.7_-33.1,0.03619000452504034,0.0037630058059067656,0.08095447225882021,0.01615185673156703
45.0_-35.1,0.03887077784082551,0.0054568054541322625,0.08816157804355003,0.015791857708922934
21.2_-32.1,0.027449507083693456,0.0015038124603678421,0.05218988204098299,0.005636535908639176
334.4_-31.2,0.027031731942663857,0.0013559386440972398,0.04388511476025873,0.006139168465191172
141.0_-1.5,0.058882328524595864,0.009467819860114492,0.20545105449991571,0.06243962679170928
346.0_-31.2,0.03287818885024476,0.0027943581070337207,0.06288417755134473,0.00960253586784807
47.4_-28.2,0.03223270830814862,0.004632903273171361,0.05435834628076212,0.008619717188339841
