binZB_id,binSNR_id,binR_id,binZB_min,binZB_max,binSNR_min,binSNR_max,binR_min,binR_max,m1_raw,m1_raw_err,m2_raw,m2_raw_err,c1,c1_err,c2,c2_err,WeiTot,WeiBlend,var_dm1,var_dm2,var_dm1_err,var_dm2_err,PSFmodelling_dm1,PSFmodelling_dm2,PSFmodelling_dm1_err,PSFmodelling_dm2_err,m1_final,m1_final_err,m2_final,m2_final_err
0,2,15,0.100000,0.200000,21.270000,24.590000,0.689103,0.721986,-0.427443,0.289586,-0.170896,0.267675,-0.001232,0.008195,0.012248,0.007575,21949.241101,7039.382244,0.360958,0.060260,2.006897,1.856856,0.001524,0.003577,0.001789,0.001845,-0.310155,0.705783,-0.147993,0.652911
0,2,16,0.100000,0.200000,21.270000,24.590000,0.721986,0.758330,0.259858,0.279620,0.059669,0.261557,0.000164,0.007913,-0.006386,0.007402,21857.839186,7241.303015,1.101130,0.062392,1.819297,1.754338,0.001524,0.003577,0.001789,0.001845,0.626176,0.664423,0.083916,0.637342
0,2,17,0.100000,0.200000,21.270000,24.590000,0.758330,0.798413,0.447874,0.266441,-0.026320,0.250983,0.008107,0.007540,-0.005126,0.007103,21841.961311,7533.596760,-1.286130,1.279367,1.911763,1.914153,0.001524,0.003577,0.001789,0.001845,0.005794,0.711192,0.418529,0.706317
0,2,18,0.100000,0.200000,21.270000,24.590000,0.798413,0.844325,0.922483,0.284444,0.347704,0.279811,0.007849,0.008050,-0.007681,0.007919,21890.423018,6808.629435,1.105094,0.836708,1.867910,1.857760,0.001524,0.003577,0.001789,0.001845,1.267727,0.646877,0.611524,0.642011
0,2,19,0.100000,0.200000,21.270000,24.590000,0.844325,999.000000,0.354327,0.319592,0.072471,0.286038,0.012675,0.009044,-0.008881,0.008095,21945.527374,7041.439796,-1.345616,-2.505514,1.981845,2.149853,0.001524,0.003577,0.001789,0.001845,-0.075903,0.711691,-0.727871,0.746758
0,3,0,0.100000,0.200000,24.590000,27.950001,0.000000,0.207804,-0.060112,0.176131,0.142543,0.177916,-0.001305,0.004985,-0.006153,0.005035,21849.792583,7225.136889,1.114361,-0.429924,1.618807,1.610354,0.001524,0.003577,0.001789,0.001845,0.309901,0.563531,0.003956,0.561440
0,3,1,0.100000,0.200000,24.590000,27.950001,0.207804,0.260172,-0.164691,0.190589,-0.337846,0.198617,-0.009249,0.005394,-0.006494,0.005621,21912.856018,7496.983219,-0.906228,0.319257,1.724866,1.631954,0.001524,0.003577,0.001789,0.001845,-0.473212,0.620140,-0.225043,0.592614
0,3,2,0.100000,0.200000,24.590000,27.950001,0.260172,0.300916,-0.230851,0.197899,0.018926,0.199555,-0.002332,0.005601,0.005802,0.005647,21933.048561,7561.739461,0.595210,0.970637,1.623475,1.542364,0.001524,0.003577,0.001789,0.001845,-0.024120,0.593675,0.357144,0.567967
0,3,3,0.100000,0.200000,24.590000,27.950001,0.300916,0.337849,-0.043667,0.206891,0.087089,0.210721,-0.003255,0.005855,0.012494,0.005963,21896.973207,7544.189489,-0.613150,-0.130248,1.600127,1.563586,0.001524,0.003577,0.001789,0.001845,-0.253392,0.588839,0.045792,0.578454
0,3,4,0.100000,0.200000,24.590000,27.950001,0.337849,0.371710,0.143970,0.211932,-0.138870,0.223741,-0.003553,0.005998,0.001671,0.006332,21917.738601,7613.671978,0.747023,-0.222923,1.749124,1.831221,0.001524,0.003577,0.001789,0.001845,0.404991,0.643505,-0.212731,0.674324
